"responseid","manip","num_reason","reason"
"R_ZwzyyhuZEp8ZXUd",4,1,"Lack of legislation to protect employment"
"R_ZwzyyhuZEp8ZXUd",4,2,"Lack of funding for people who lose their jobs"
"R_aXciVf2bKs9d9zX",4,1,"They didn’t help financially"
"R_aXciVf2bKs9d9zX",4,2,"Closed businesses"
"R_Y6mx3czrU6dbcl3",4,1,"unsure"
"R_Y6mx3czrU6dbcl3",4,2,"unsure"
"R_1LNh9hxHmqtoVFp",2,1,"Cannot personally see how you’d be that much worse off during a pandemic"
"R_1LNh9hxHmqtoVFp",2,2,"Shortfall in wages would be offset by needing and being unable to spend less"
"R_zV8q0gltjRkAGWd",3,1,"There was no pandemic"
"R_zV8q0gltjRkAGWd",3,2,"Government response to the fake pandemic impacted lower income groups more"
"R_AvQ4HvplUa0KP7P",4,1,"not provided enough benefits"
"R_AvQ4HvplUa0KP7P",4,2,"some made big profits from PPE contracts"
"R_2v7aSraAqJ83sc3",4,1,"They had a choice about what financial help they gave"
"R_2v7aSraAqJ83sc3",4,2,"They can help now"
"R_1mUGIOKSIN4iMHP",2,1,"there are always losers and cannot all be supported"
"R_1mUGIOKSIN4iMHP",2,2,"financial support for the job losses was given"
"R_2taOIwwzMLI4It7",5,1,"They've defunded the NHS for over a decade"
"R_2taOIwwzMLI4It7",5,2,"They gave PPE contracts to their friends"
"R_3PHOUUFsGAzdWLS",4,1,"Low paid lost out"
"R_3PHOUUFsGAzdWLS",4,2,"More redundancies as businesses had to let people go"
"R_3kI0D6GJ1Rf5vlF",4,1,"High electric costs"
"R_3kI0D6GJ1Rf5vlF",4,2,"High mortgage"
"R_1Q9kBvNuB7y0xwg",5,1,"Company profit's"
"R_1Q9kBvNuB7y0xwg",5,2,"No help for the poor"
"R_AiEFlz6ctB2oI3n",5,1,"They were in charge."
"R_AiEFlz6ctB2oI3n",5,2,"It was their job to control the situation."
"R_22rFmdJXMgthYas",3,1,"They did focus a lot on allowing certain business to make huge profits"
"R_22rFmdJXMgthYas",3,2,"But there were schemes in place to help the poorest"
"R_3G9Rq7g8agsa5Gg",2,1,"There was an excess of govt benefits"
"R_3G9Rq7g8agsa5Gg",2,2,"Lower paid included key workers who received little benefit"
"R_33aj86FiloFdHfT",5,1,"They have been guilty of stealing opportunities for their wealthy friends rather than trying to fix society"
"R_33aj86FiloFdHfT",5,2,"Also they are incompetent in every other area. This one too."
"R_2651TbaEgVl8gWc",4,1,"There should provide better access to healthcare"
"R_2651TbaEgVl8gWc",4,2,"They should have provided better job protection"
"R_Q0qNKyhLJ4oQ7hD",5,1,"The Government imposed a stay-at-home order which meant that people who worked on the frontline (and lower-income) lost out on work opportunities"
"R_Q0qNKyhLJ4oQ7hD",5,2,"The Government did not do enough to address this inequality during the pandemic"
"R_cT6a52WUqj1lFT3",5,1,"Not just"
"R_cT6a52WUqj1lFT3",5,2,"during the pandemic."
"R_33BEj2iwnMJlaX7",5,1,"Government not interested in the poorest in society"
"R_33BEj2iwnMJlaX7",5,2,"Government has invested interests in the companies benefiting the most"
"R_2CClUvtjmVwpAmq",5,1,"Didn’t act in the best interests of the general public"
"R_2CClUvtjmVwpAmq",5,2,"Only interested in making money for themselves"
"R_24HF0ayLHB7BtmR",4,1,"The wealthy were never punished for breaking the rules. Think of party gate."
"R_24HF0ayLHB7BtmR",4,2,"The death and infection rates were high in poor areas"
"R_2ZNXXNOkA9a95Be",5,1,"The government disorganization and rushed decisions resulted in the unequal burden."
"R_2ZNXXNOkA9a95Be",5,2,"The government was unprepared and panicked when the pandemic struck. They didn’t consider the impact of their decisions."
"R_PFhodJUVjR3Wmd3",4,1,"Fairness"
"R_PFhodJUVjR3Wmd3",4,2,"Helping people to recover economically"
"R_2rZyziI38zIC4FC",4,1,"They favour the rich"
"R_2rZyziI38zIC4FC",4,2,"Do anything that benefits them"
"R_1ohxC0wugopdJxY",4,1,"Just the entire way the pandemic was handled by the uk government resulted in the inequality effects, as they didn't care about the long term effects of their decisions, e.g. closing down all non-essential businesses"
"R_1ohxC0wugopdJxY",4,2,"By forcing people to stay at home, they were also forcing people to stay in unsafe situations, again affecting lower-income people, as they couldn't just simply move away - e.g. domestic violance"
"R_OiF2sptz1l9Cvex",3,1,"People that were laid off, were paid furlough."
"R_OiF2sptz1l9Cvex",3,2,"I don’t think the government were entirely responsible, but they didn’t act of the best during COVID-19"
"R_22rjrMSH5AUtqeE",3,1,"I don't know if the Government was responsible for this"
"R_22rjrMSH5AUtqeE",3,2,"n/a"
"R_1GPl3jMsPuFoPwd",4,1,"Lack of planning for such an eventuality . All policy seemed knee jerk reaction"
"R_1GPl3jMsPuFoPwd",4,2,"At the time I was on JSA . No one mentioned I should transfer to UC and get the extra 10£ a week covid 'bonus'  I imagine many people were introduced to the benefits system during this period and  received disingeuous advice"
"R_R93yyCv2PFP2oGR",4,1,"Not enough support for low income household"
"R_R93yyCv2PFP2oGR",4,2,"Giving PPE contracts to their friends for profits"
"R_3lY1sxKWr2Lvr3t",4,1,"They lobbied companies for supplies in their own favour"
"R_3lY1sxKWr2Lvr3t",4,2,"They did not act fast enough"
"R_3n18qQruX4ccF6J",4,1,"for the long term policies that meant some households had worse health and/or access to health care that meant things were unequal before the pandemic."
"R_3n18qQruX4ccF6J",4,2,"for not targeting resources effectively to support households that really needed it."
"R_2WIvl3FQWPkgAzQ",4,1,"Scaremongering constantly"
"R_2WIvl3FQWPkgAzQ",4,2,"Ppe mess up"
"R_2wztXHmdoWDO24n",5,1,"Big payments to large companies"
"R_2wztXHmdoWDO24n",5,2,"Failure to compensate the lower paid"
"R_r7SzAOZqrNpncZj",4,1,"They could’ve done more to close the gap between the rich and the poor"
"R_r7SzAOZqrNpncZj",4,2,"They didn’t consider the poor as much"
"R_3g1TJ7tMYE63gMf",1,1,"Failure to act on soaring costs after the pandemic"
"R_3g1TJ7tMYE63gMf",1,2,"Failure to regulate fuel markets efficiently before and after the pandemic"
"R_3P5fQAJVjAutIRX",3,1,"They did provide furlough which helped people"
"R_3P5fQAJVjAutIRX",3,2,"They wasted lots of money on insufficient ppe"
"R_XyVGVz7O1DeKsy5",3,1,"Pandemic was unprecidented"
"R_XyVGVz7O1DeKsy5",3,2,"Government cannot control the full affects of pandemic"
"R_246lFhFFlIz7zWt",4,1,"lower income people experienced more covid infections"
"R_246lFhFFlIz7zWt",4,2,"lower income people experienced more unemployment"
"R_3NPMSngwk6mLH8V",3,1,"it was an unprecedented time not sure whole blame can go to the government"
"R_3NPMSngwk6mLH8V",3,2,"however it was ultimately there diesicions that impacted the people"
"R_3JFuis5nD93Brq5",5,1,"they are corrupt"
"R_3JFuis5nD93Brq5",5,2,"they want to be rich and their friends"
"R_1BrWlayOuxFTNLz",2,1,"Record number of job vacancies"
"R_1BrWlayOuxFTNLz",2,2,"Alternative to government intervention was more deaths"
"R_AtSOHQyXzCfkdTH",2,1,"Government supported industries with furlough"
"R_AtSOHQyXzCfkdTH",2,2,"People needed to take responsibility for social distancing and preventing the spread of covid"
"R_233Tx93JxSMBBq3",5,1,"Poor social care funding"
"R_233Tx93JxSMBBq3",5,2,"Handing out contracts to gov friends"
"R_3r1kR3kw4UqGE1i",3,1,"introducing lockdowns"
"R_3r1kR3kw4UqGE1i",3,2,"not closing borders"
"R_3hhmKXQbEGnx5jj",5,1,"less emphasis on unions over the past decade has dissolved workers rights, therefore people are less secure"
"R_3hhmKXQbEGnx5jj",5,2,"dismantling of the NHS and welfare state have meant that there is no safetly net for poorer people, and we do not get adequate healthcare if we cannot pay"
"R_27UxAS0ifqCMfgT",5,1,"helped the rich become richer"
"R_27UxAS0ifqCMfgT",5,2,"tax policies only helped the wealthy"
"R_2atL0RHphRQPM1L",4,1,"The furlough scheme was good, but many people were left out"
"R_2atL0RHphRQPM1L",4,2,"Should have done more windfall taxes on corporations that suddenly made a profit and used that to fund help for poorer people"
"R_126eP64FIrsaTH6",5,1,"Not supporting those in lower income jobs"
"R_126eP64FIrsaTH6",5,2,"Furlough scheme did not go far enough"
"R_11bYdaV32i3jsA2",4,1,"Government support the rich"
"R_11bYdaV32i3jsA2",4,2,"Government didn’t deal with covid well"
"R_2diKhpvU3QrRlNo",4,1,"making people stay at home, while a good idea it still caused  extra burden"
"R_2diKhpvU3QrRlNo",4,2,"not moving quickly enough to stop people entering the country with covid and relaxing rules of travel too early  (ie travel to India was allowed far to early and  caused the second wave of covid)"
"R_1eJLNNEhZeZiNsg",3,1,"Had to implement working remotely which is hard for lower jobs"
"R_1eJLNNEhZeZiNsg",3,2,"Unprecedented situation and did best they could re benefit increases furlough etc"
"R_25WRFvK54GmS9O7",3,1,"financial assistance was available"
"R_25WRFvK54GmS9O7",3,2,"some people had to work longer and harder to keep jobs with no assistance"
"R_3r00Z3gNGsx4csG",1,1,"The Government is not responsible for low incomes"
"R_3r00Z3gNGsx4csG",1,2,"The Government had difficult decisions to make and cannot be held accountable for the differing sectors of society"
"R_3gTQNK2pYDpgoz8",3,1,"Jobs were maintained via the furlough scheme."
"R_3gTQNK2pYDpgoz8",3,2,"We do not know the full impact yet, until enquiries are finalised."
"R_3HCgrSOnpMiAcKz",4,1,"They should have been better prepared."
"R_3HCgrSOnpMiAcKz",4,2,"The government aren’t interested in us poorer folk."
"R_3jZgnXmTI4LkAYy",1,1,"it was unavoidable"
"R_3jZgnXmTI4LkAYy",1,2,"plenty of economic support was provided to low income groups"
"R_1rOK3MKGb9ogCLp",5,1,"Giving contacts to friends companies"
"R_1rOK3MKGb9ogCLp",5,2,"Concentrating on rich rather than working class"
"R_syS0Mn3SIL2dJgl",2,1,"An uncontrolled global pandemic no one was prepared for."
"R_syS0Mn3SIL2dJgl",2,2,"Government provided grants to millions across the country"
"R_3fdc5HiARjYcduA",3,1,"-99"
"R_3fdc5HiARjYcduA",3,2,"-99"
"R_VO4PjGH4I2b18Fb",4,1,"They could help the poor more"
"R_VO4PjGH4I2b18Fb",4,2,"They could tax the rich who benefitted more"
"R_XS3N07n2mhMemKl",4,1,"Cronyism in contract awards"
"R_XS3N07n2mhMemKl",4,2,"Health inequality"
"R_3CBls5IomxUxxVK",4,1,"Many politicians directed business towards companies they (or their friends) directly benefited from"
"R_3CBls5IomxUxxVK",4,2,"I believe that politicians made few changes to their lives, while placing restrictions on the general population that were extremely difficult to maintain."
"R_2f6tSKJx4w6cP1p",2,1,"THERE WER FURLOUGH SCHEMES IN PLACE"
"R_2f6tSKJx4w6cP1p",2,2,"EVERYONE WAS EFFECTED TO SOME POINT"
"R_3dPJfoaYoFn4tIt",4,1,"Not taxing the extremely wealthy enough"
"R_3dPJfoaYoFn4tIt",4,2,"Not doing enough for lower income people post pandemic"
"R_2b4btjjnZOqITn9",4,1,"Was easy for white collar workers to work from home"
"R_2b4btjjnZOqITn9",4,2,"Low paid service jobs were stopped completely e.g hotel workers"
"R_3O2rtdemcLCHwRk",2,1,"Companies such as Amazon benefiting and profits soaring"
"R_3O2rtdemcLCHwRk",2,2,"Companies such as the above not paying tax"
"R_24wvaZD7Ndz81kG",5,1,"The government protected their own interests - especially those of certain individuals."
"R_24wvaZD7Ndz81kG",5,2,"The government thought only of the inpact on votes, and not on the welfare of the general public."
"R_pseAR15e58PORUZ",4,1,"Putting people on furlough"
"R_pseAR15e58PORUZ",4,2,"Schemes such as eat out to help out"
"R_1FtUwYG2jo3ziJ0",2,1,"They did help out a little"
"R_1FtUwYG2jo3ziJ0",2,2,"It was hard to be fair"
"R_2YWjcsX6GeIa0Bh",4,1,"the government invested in some of these companies e.g. for PPE"
"R_2YWjcsX6GeIa0Bh",4,2,"Some companies were able to profit by using the furlough scheme so the government paid the wages"
"R_DwuhVFDcnxWiQcp",3,1,"dont know"
"R_DwuhVFDcnxWiQcp",3,2,"dont know"
"R_3EKcY5owgO9FyFs",4,1,"Little preparation for impact of pandemic"
"R_3EKcY5owgO9FyFs",4,2,"Historic underfunding of health and social care"
"R_2wH9v68cAe0xxFy",2,1,"It’s not their fault the pandemic happened"
"R_2wH9v68cAe0xxFy",2,2,"They didn’t do anything different from normal"
"R_262t5mGI3ro5mBF",2,1,"They did try to implement solutions to help those suffering most"
"R_262t5mGI3ro5mBF",2,2,"It's hard to control an air born infection"
"R_2VOVEznU3hUjQjs",4,1,"I think many people were gifted big contracts to supply products."
"R_2VOVEznU3hUjQjs",4,2,"Corruption is rife amongst politicians , and profiteering existed."
"R_2CdLalgzVzi9DbZ",3,1,"hesitant actions."
"R_2CdLalgzVzi9DbZ",3,2,"longevity of the pandemic."
"R_wLbdwPwgQXkOvrH",4,1,"Not enough help for people"
"R_wLbdwPwgQXkOvrH",4,2,"Cutting off help"
"R_2BthamcBycgqx8A",3,1,"There will always be rich and poor regardless of the Government policies"
"R_2BthamcBycgqx8A",3,2,"The government is neither responsible or not responsible for the unequal burden"
"R_2WGpgqC65Uf2nMQ",3,1,"Not sure I see the correlation"
"R_2WGpgqC65Uf2nMQ",3,2,"The government tried to help as well"
"R_1I9OHdqPIT2b5PD",3,1,"Government mistakes"
"R_1I9OHdqPIT2b5PD",3,2,"Bad planning"
"R_3EbOqsL5IrQv8BJ",3,1,"it wasn't anyones fault"
"R_3EbOqsL5IrQv8BJ",3,2,"the government wasn't prepared but no one was"
"R_2v0lARNPN5kSrxK",5,1,"Not being prepared for this event"
"R_2v0lARNPN5kSrxK",5,2,"Wasted money by giving deals to their friends"
"R_3ixaPfhUzmA8YwR",4,1,"The government hasn't provided additional payment support for the poorer"
"R_3ixaPfhUzmA8YwR",4,2,"Lower income staff more like to be in lower necessity jobs, government did not have an intervention for this"
"R_2ah7QkMmVjdwEUt",5,1,"Vague rules about whether people needed to go in to work, resulting in poor people having no choice but to expose themselves to the virus in order to earn a living"
"R_2ah7QkMmVjdwEUt",5,2,"Not enough financial support provided to lower earning people/families."
"R_3nNsHYQ81GhxrZu",5,1,"Governement were too slow to react"
"R_3nNsHYQ81GhxrZu",5,2,"Government set rules they then didnt follow"
"R_3D8xdiS8ehrefex",4,1,"Poor regulation"
"R_3D8xdiS8ehrefex",4,2,"Poor leadership"
"R_1F9P6K2Bi61XMU4",5,1,"there was profiteering and corruption by MPs and friends of MPs"
"R_1F9P6K2Bi61XMU4",5,2,"sending people back to care homes untested - and then denying it"
"R_3KZvi16OliCyhnh",4,1,"Government is corrupt"
"R_3KZvi16OliCyhnh",4,2,"Government looks after it's own"
"R_2ahmFwsIeyfI0uQ",5,1,"The prive of things risen"
"R_2ahmFwsIeyfI0uQ",5,2,"Income for working is still low"
"R_3MPvj6CzQRwmILT",1,1,"Because the pandemic was an unknown event so it could not have been predicited"
"R_3MPvj6CzQRwmILT",1,2,"The government actioned as per bodies such as SAGE in response to data etc."
"R_XKT5l1GvH0ytnzP",2,1,"The government couldn't control all different sectors"
"R_XKT5l1GvH0ytnzP",2,2,"They tried to help the sectors like hospitality and retail that were struggling the most."
"R_wZRFAhWDTQ7ePoB",5,1,"Mishandling of restrictions early on leading to one of the world's worst responses to the pandemic, poor people neccesarily most affected by stresses involving health, finance, and employment for myriad and obviousreasons."
"R_wZRFAhWDTQ7ePoB",5,2,"Previous destruction of benefits systems left them incapable of properly dealing with increased strain, with poorly applied measures like the cost of living payments not making up for the state of benefits in the UK during the pandemic"
"R_3jZfjdzNsZQMc7x",4,1,"Didn’t put measures in place to tax higher."
"R_3jZfjdzNsZQMc7x",4,2,"Some small business weren’t allowed to open but big ones did."
"R_2woxNYl1TZXtsAz",4,1,"Unfair tax"
"R_2woxNYl1TZXtsAz",4,2,"Low wages"
"R_3PtKD1W8fTUVeJ5",4,1,"furlough"
"R_3PtKD1W8fTUVeJ5",4,2,"companies lost a lot of money closing"
"R_2tD3HrgA52pBEQj",5,1,"companies using post pandemic factors to drive prices and cost of living"
"R_2tD3HrgA52pBEQj",5,2,"lower income workers more likely have jobs at risk leaving open to possible redundancy or furlough schemes, unable to WHF during pandemic so had to take time off loosing earnings"
"R_b2FGoQ8vhWYHSnL",5,1,"The government prefer to benefit the rich"
"R_b2FGoQ8vhWYHSnL",5,2,"The rich use loopholes to benefit themselves"
"R_2aaBQdjKcMyZAwP",3,1,"I think the government is partially responsible as they were not really concerned with everyday individuals but more the overall picture"
"R_2aaBQdjKcMyZAwP",3,2,"In addition the pandemic was an unusual circumstance and was worldwide rather than just our governments responsibility"
"R_3fAVkRXSzk38VXr",4,1,"Inflation raisng food prices, causing people to buy cheaper unhealthier foods"
"R_3fAVkRXSzk38VXr",4,2,"Poor or no workers rights"
"R_2y7wphg4ZXRSJrT",4,1,"Not governments faults that poorer households had less access to better medical treatment like the top 10% did"
"R_2y7wphg4ZXRSJrT",4,2,"Government didn't help with PPE etc. for key workers which would fall in the lower income and more vunerable bracket"
"R_1dzrkuzTJ7O3CfC",2,1,"It’s hard to apply and enforce the rules such that everyone is impacted to the same extent"
"R_1dzrkuzTJ7O3CfC",2,2,"The government is thinking big picture stuff and not about equality"
"R_3pg4oavPXvJOAVV",4,1,"Lower paid workers still had to go and work at their jobs as they were unable to remote work"
"R_3pg4oavPXvJOAVV",4,2,"Contract were awarded unfairly to rich people/companies which made the rich even richer"
"R_2ri1JdH6dgIGiCb",4,1,"The government printed too much money which led to inflation"
"R_2ri1JdH6dgIGiCb",4,2,"The government kept poor people inside which led to them getting poorer"
"R_1eWQBLBTJ6wtD2o",2,1,"no one knew what to expect across the whole world"
"R_1eWQBLBTJ6wtD2o",2,2,"The Government cannot, at a stroke, solve problems such as poor housing or lack of trust"
"R_3s4a2DTjiPfM42U",5,1,"They placed restrictions such as lockdown without putting into considerations the effect it would have on the low income earners"
"R_3s4a2DTjiPfM42U",5,2,"Not enough measures were put in place to cushion the effect of the covid19 lock down and shock on the low income earners."
"R_2di1gqD9FY8WGaq",5,1,"Allowing  wealthy individuals and companies to escape  taxation  e.g.  offshore investments"
"R_2di1gqD9FY8WGaq",5,2,"Not  enough oversight  of  who got  government contracts,   e.g.  for  PPI equipment"
"R_9uEJZOLiyuM8hjz",5,1,"Lower income families tend to work in jobs which are disproportionally affected by the Pandemic"
"R_9uEJZOLiyuM8hjz",5,2,"Zero hours contracts are adversely affected by the Pandemic as are self employed people."
"R_2908Gm8PNmvofwI",2,1,"The government arent responsible for everything, people need to be accountable to."
"R_2908Gm8PNmvofwI",2,2,"The government tried to help people."
"R_WomHodNI6UOv7UJ",5,1,"Because the did nothing to tax the rich"
"R_WomHodNI6UOv7UJ",5,2,"they handed their 'friends' PPI contracts which weren't delivered costing the country millions"
"R_C1U0zvNJyNN3BJL",4,1,"The rich had savings to live off the poor didn't"
"R_C1U0zvNJyNN3BJL",4,2,"The rich probably claimed all forms of benefits"
"R_1DoMqaMtZW6YVUu",4,1,"Not sure"
"R_1DoMqaMtZW6YVUu",4,2,"-99"
"R_3soW295pRAJdraH",3,1,"Not"
"R_3soW295pRAJdraH",3,2,"Sure"
"R_3INXIdy0XHaRiwx",4,1,"Allowing companies to profit from Covid"
"R_3INXIdy0XHaRiwx",4,2,"not reducing tax on fuel to help with increasing costs"
"R_D0ii4okQ0CPfghH",5,1,"Healthcare issues in poorer areas"
"R_D0ii4okQ0CPfghH",5,2,"Lack of Govt investment in truely 'levelling up'"
"R_27kbhqjUIzLaBAe",4,1,"low wages, minimum wage is too low"
"R_27kbhqjUIzLaBAe",4,2,"Favoured the rich as they could work from home"
"R_2dit9Az9mcxrbiV",2,1,"Don't completely agree that it affected lower income groups more."
"R_2dit9Az9mcxrbiV",2,2,"But do agree that government was to blame for any burden."
"R_D67ZrwnKoezsZwZ",3,1,"They had little choice"
"R_D67ZrwnKoezsZwZ",3,2,"These were unknown circumstances so outcomes were unknown"
"R_2YXFOVqiGsiYoGW",4,1,"governments enacted lockdowns and the lockdowns shut down services such as education which impacted state schools much worse than private (fee) schools"
"R_2YXFOVqiGsiYoGW",4,2,"people were not given enough help to get back into work after the pandemic"
"R_1PUb4i59vWr1vxu",4,1,"It was government policy that was the root cause."
"R_1PUb4i59vWr1vxu",4,2,"Policy was possibly flawed, and politicians took advantage"
"R_2Y9gy6KdNyiug99",2,1,"They did not cause the pandemic"
"R_2Y9gy6KdNyiug99",2,2,"People make their own choices"
"R_Wlprxtuyyak1uiR",2,1,"The government could not have foreseen the pandemic or done more than they did"
"R_Wlprxtuyyak1uiR",2,2,"The government attempted to shield lower-income groups with things like the furlough scheme"
"R_2WUdwRIxRtGXE4X",4,1,"Lockdowns meant people in higher earning jobs were more easily able to work from home than lower earners."
"R_2WUdwRIxRtGXE4X",4,2,"People in lower earning jobs were more at risk of catching covid as they were less able to take time off."
"R_3JmYW9f1584eklN",4,1,"Because enough investigation was not done before locking everyone down"
"R_3JmYW9f1584eklN",4,2,"Government policies on tax doesn't really affect the wealthy"
"R_CeOiDmeyDnGqWc1",4,1,"i DONT THINK THE GOVERNMENT THOUGH THROUGH THE IMPLICATIONS ON THE POOR"
"R_CeOiDmeyDnGqWc1",4,2,"-99"
"R_3J8dBntcbKad6Hq",3,1,"Its market forces not the government"
"R_3J8dBntcbKad6Hq",3,2,"Unfortunately some industries will profit more in certain times and visa versa"
"R_2EAZHJD5FgNrDgL",3,1,"It was dependable on what the industry was"
"R_2EAZHJD5FgNrDgL",3,2,"It also depended on what the work force was in that industry; did they lose a lot due to staff having to shied, becoming unwell"
"R_w0IriklIVUZja3D",5,1,"the government wasted public money on useless PPE contracts to their mates, which took money away from public spending and support"
"R_w0IriklIVUZja3D",5,2,"The government's emergency business loan system was easy to defraud, meaning billions were claimed and lost from the public purse again. Incompetent government."
"R_2tFpGnAs7qcry4S",2,1,"The government didn’t cause the pandemic"
"R_2tFpGnAs7qcry4S",2,2,"Furlough pay was introduced"
"R_1E67lDgjltgm8LR",2,1,"Government tried to make sure everyone was financially supported"
"R_1E67lDgjltgm8LR",2,2,"Government also tried to get businesses open and people back to work once it was safe but still continued support where needed"
"R_0UhSWv7UZrh4vpD",4,1,"They were unprepared"
"R_0UhSWv7UZrh4vpD",4,2,"They didn't provide enough support"
"R_30bK7GfsCsT09ul",2,1,"The government could not foresee the pandemic"
"R_30bK7GfsCsT09ul",2,2,"people had there own responsibility regarding infectioin"
"R_1rxHXwAgrG2Ix5k",5,1,"Government is in charge of policy"
"R_1rxHXwAgrG2Ix5k",5,2,"Government is able to legislate to change behaviours"
"R_3079Y0uhkn1P9pv",3,1,"-99"
"R_3079Y0uhkn1P9pv",3,2,"-99"
"R_xzpShi6clK8yZzz",5,1,"They didn't do enough to help the middle people."
"R_xzpShi6clK8yZzz",5,2,"They ignored the poor."
"R_4GBAyDdCpYjUSPv",4,1,"The government chose to close certain businesses during lockdowns and not provide full income allowance for those affected."
"R_4GBAyDdCpYjUSPv",4,2,"No support for informal workers."
"R_1P6lb0bYvh66vHT",5,1,"they were in charge"
"R_1P6lb0bYvh66vHT",5,2,"they implemented the rules which were unfair to the poor"
"R_2Y579ALN0X1ZvSB",5,1,"They gave contracts to their friends"
"R_2Y579ALN0X1ZvSB",5,2,"They let down the poor"
"R_31LaHPP03cEnv4T",2,1,"Many lower paid jobs continued to work"
"R_31LaHPP03cEnv4T",2,2,"The government l could not predict the pandemic"
"R_bEg6SG7CldKY4Ap",4,1,"They have allowed inequality to grow"
"R_bEg6SG7CldKY4Ap",4,2,"The government led the pandemic response"
"R_2sSg0h0hlfIPXX2",5,1,"The government had the power to alleviate this and they did not."
"R_2sSg0h0hlfIPXX2",5,2,"The government is responsible for the fair treatment of all citizens and they did not achieve this."
"R_1fdwoiIqrdoENkP",4,1,"Giving inappropriate contracts to friends in government and allowing profiteering off things like PPE sales"
"R_1fdwoiIqrdoENkP",4,2,"Hosting parties and breaking lockdown rules whilst enforcing them on the public"
"R_1BQJjP0rkfauwur",4,1,"The government were making the rules to follow. Many people were key workers in low paid jobs. I.e manufacturing. Not enough done to protect them"
"R_1BQJjP0rkfauwur",4,2,"They were quick to give funding to companies to provide ppe etc that had connections with the government"
"R_1JJZycKAwPhWQNl",5,1,"No clear directions from government"
"R_1JJZycKAwPhWQNl",5,2,"no help to the poorer people from the government"
"R_ZK4spPFoovIpqRH",4,1,"They were in charge of regulaitons and laws surrounding covid 19 and any loop holes"
"R_ZK4spPFoovIpqRH",4,2,"The government were known to take advantage for their own gain with certain contracts being taken out during the pandemic"
"R_3ewR0hPbcaI9VPE",4,1,"they did not protect lower income workers enough by lack of PPE and bringing in protection measures too late"
"R_3ewR0hPbcaI9VPE",4,2,"the government allocated covid-related contracts to firms with no proper scrutiny so large profits were made that were undeserved"
"R_2zZOD84MeYGQHPW",4,1,"People in lower income brackets are likely unable to work from home risking their job"
"R_2zZOD84MeYGQHPW",4,2,"The lockdowns impact peoples schooling more so in lower incomes where people couldn't manage teaching their children at home"
"R_3gYQOMq4ciyMWa7",4,1,"no need for lockdown"
"R_3gYQOMq4ciyMWa7",4,2,"the help available was too complex, given to wrong people"
"R_XwicungIVyR2nAJ",2,1,"Successful people have access to better health care, and not every Successful person is a crook."
"R_XwicungIVyR2nAJ",2,2,"Poorer people are often less inclined to believe in the effectiveness of social distancing, therefore they dont practice it."
"R_3paPCQNs2CBC7Qf",3,1,"businesses do what they have always done, you cannot blame them"
"R_3paPCQNs2CBC7Qf",3,2,"if there's money to be made, it will be made by someone"
"R_piVFXabM9JrIkSJ",4,1,"unclear guidelines"
"R_piVFXabM9JrIkSJ",4,2,"restrictions"
"R_a3NjND5NYRvDve9",4,1,"Payments was only given to those on certain benefits rather than to everyone"
"R_a3NjND5NYRvDve9",4,2,"mid class lost out on so much"
"R_3m4AELC2zn2EaZu",5,1,"Measures were not taken to ensure equality"
"R_3m4AELC2zn2EaZu",5,2,"Money was not appropriately distributed"
"R_2bJpiyR8ImuSEr0",4,1,"Only a certain set of society were given help."
